taxels_up,taxels_down,taxels_right,taxels_left,taxels_clockwise,taxels_counterclockwise,taxels_pressure
38711,42065,41162,34994,54011,53197,156932
38745,42051,41134,34884,53916,53208,156814
38747,42095,41185,34872,53992,53181,156899
38873,42123,41216,34786,54122,53126,156998
38866,42079,41219,34830,54064,53131,156994
38836,42103,41303,34795,54040,53108,157037
38795,42110,41350,34804,54142,53129,157059
38697,42164,41360,34859,54182,53104,157080
38644,42181,41377,34791,54186,53064,156993
38629,42184,41371,34806,54183,53044,156990
38523,42169,41277,34782,54087,53018,156751
38539,42239,41325,34858,54171,53088,156961
38466,42228,41213,34865,54067,53052,156772
38527,42242,41237,34861,54074,53081,156867
38466,42206,41209,34867,54033,53046,156748
38471,42179,41182,34930,54030,53088,156762
38430,42252,41176,34979,54133,53094,156837
38439,42206,41156,35022,54125,53076,156823
38443,42198,41195,35044,54083,53115,156880
38417,42152,41120,35075,54031,53127,156764
38471,42182,41158,35049,54063,53134,156860
38423,42208,41158,35139,54141,53168,156928
38460,42236,41108,35207,54132,53179,157011
38504,42092,41132,35221,54130,53169,156949
38643,42037,41113,35153,54009,53185,156946
38776,42050,41052,35056,54006,53197,156934
38809,41923,41081,34929,53908,53132,156742
38891,42024,41079,34880,53953,53129,156874
38955,41994,41120,34739,53921,53128,156808
38963,42103,41162,34809,53992,53204,157037
38909,42125,41198,34757,54110,53084,156989
38869,42010,41220,34716,53945,53076,156815
38704,42047,41225,34688,53960,53012,156664
38611,42138,41195,34797,54021,53078,156741
38600,42072,41223,34804,54003,53036,156699
38590,42120,41205,34816,54019,53046,156731
38551,42097,41145,34833,53948,53035,156626
38523,42093,41187,34819,53976,53035,156622
38522,42088,41152,34849,53940,53083,156611
38563,42070,41146,34744,53891,53034,156523
38549,42039,41148,34783,53920,52986,156519
38510,42147,41204,34838,53974,53106,156699
38437,42192,41178,34846,54019,53070,156653
38487,42196,41231,34857,54061,53102,156771
38496,42139,41111,34850,53960,53088,156596
38470,42156,41166,34918,53996,53109,156710
38496,42103,41148,34928,53973,53156,156675
38530,42164,41140,34981,54040,53184,156815
38568,42052,41112,34919,53922,53150,156651
38577,42139,41230,34962,54047,53251,156908
38589,41990,41150,34925,53878,53139,156654
38611,42036,41211,34894,53962,53140,156752
38641,42074,41124,34903,54000,53100,156742
38678,42057,41165,34860,54011,53088,156760
38637,42161,41195,34842,54054,53095,156835
38707,42142,41189,34821,54062,53138,156859
38591,42012,41170,34836,53903,53087,156609
38686,42105,41202,34807,54027,53082,156800
38582,42109,41244,34788,54005,53055,156723
38619,42142,41213,34793,53987,53096,156767
38537,42123,41212,34844,54088,53011,156716
38540,42117,41189,34827,53988,53025,156673
38504,42050,41204,34800,53942,53045,156558
38466,42147,41225,34848,54011,53046,156686
38554,42096,41159,34794,53956,53019,156603
38479,42194,41188,34872,54085,53056,156733
38465,42189,41166,34816,54003,53056,156636
38444,42229,41161,34932,54102,53092,156766
38364,42245,41107,34842,53974,53062,156558
38397,42170,41174,34957,54059,53059,156698
38443,42123,41145,34974,53962,53100,156685
38419,42183,41207,35053,54030,53141,156862
38455,42182,41177,35103,54109,53148,156917
38466,42238,41153,35140,54111,53247,156997
38519,42056,41159,35149,54006,53188,156883
38577,42155,41160,35095,54003,53239,156987
38652,42067,41112,35016,53948,53224,156847
38757,42057,41155,34960,53992,53164,156929
38797,42006,41130,34899,53957,53171,156832
38912,42074,41198,34831,54035,53135,157015
38846,41997,41254,34740,53984,53100,156837
38814,42055,41287,34736,54000,53069,156892
38707,42068,41274,34722,54056,53003,156771
38622,42140,41257,34740,54038,53063,156759
38682,42023,41303,34748,54002,53025,156756
38604,42097,41319,34754,54108,53020,156774
38560,42070,41307,34725,54005,52971,156662
38449,42134,41340,34748,53996,53014,156671
38478,42173,41204,34771,54014,53013,156626
38480,42197,41232,34790,54021,53044,156699
38470,42216,41197,34859,54045,53056,156742
38440,42253,41180,34896,54040,53116,156769
38379,42195,41102,34922,53962,53090,156598
38427,42187,41115,34919,53901,53152,156648
38451,42128,41193,34954,53934,53153,156726
38496,42129,41167,35005,53962,53219,156797
38480,42108,41113,34998,53920,53177,156699
38543,42050,41162,35046,53957,53193,156801
38615,42052,41086,34962,53951,53129,156715
38703,42151,41145,34886,54053,53173,156885
