taxels_left_up,taxels_left_down,taxels_right_up,taxels_right_down,taxels_up_left,taxels_up_right,taxels_down_left,taxels_down_right,taxels_left_pressure,taxels_right_pressure,taxels_up_pressure,taxels_down_pressure
13417,14352,13795,14984,13515,16235,9992,53430,52541,11515,58744,45904
13415,14365,13802,14979,13502,16202,9924,53387,52515,11521,58764,45797
13423,14347,13800,14980,13462,16213,9912,53339,52459,11506,58725,45768
13430,14357,13798,15014,13413,16176,9922,53340,52479,11527,58648,45846
13466,14350,13812,14964,13411,16209,9899,53334,52521,11564,58704,45808
13448,14359,13817,14980,13362,16214,9940,53297,52540,11520,58661,45866
13444,14351,13798,15006,13359,16239,9914,53364,52493,11577,58695,45863
13418,14352,13804,14995,13342,16243,9915,53344,52427,11517,58640,45800
13404,14381,13747,15014,13373,16234,9912,53333,52463,11526,58629,45810
13374,14398,13743,15032,13369,16217,9921,53333,52424,11526,58571,45831
13393,14377,13763,15022,13363,16240,9909,53322,52456,11518,58591,45828
13408,14374,13733,15013,13368,16227,9910,53249,52490,11533,58591,45826
13393,14419,13731,15026,13397,16235,9932,53308,52533,11538,58649,45852
13392,14364,13733,15051,13371,16291,9942,53345,52481,11539,58670,45819
13375,14382,13736,15083,13439,16202,9887,53392,52413,11546,58662,45787
13381,14405,13703,15047,13413,16240,9901,53280,52459,11523,58657,45771
13396,14403,13710,15029,13442,16209,9926,53299,52506,11525,58649,45793
13389,14421,13690,15040,13449,16234,9914,53302,52518,11548,58669,45812
13377,14438,13655,15122,13470,16200,9911,53363,52522,11527,58707,45772
13388,14404,13704,15114,13497,16180,9935,53420,52501,11518,58702,45842
13393,14389,13699,15090,13521,16196,9951,53421,52518,11522,58687,45845
13371,14396,13705,15075,13554,16209,9918,53444,52508,11540,58781,45814
13399,14409,13722,15018,13553,16193,9937,53405,52544,11537,58742,45859
13404,14392,13745,15038,13571,16173,9949,53428,52581,11513,58748,45847
13419,14381,13782,14990,13527,16204,9961,53410,52538,11523,58753,45866
13428,14372,13828,15000,13546,16195,9959,53489,52571,11506,58787,45869
13455,14388,13819,15005,13479,16209,9928,53457,52571,11527,58794,45846
13431,14419,13826,15053,13418,16228,9925,53435,52589,11542,58763,45886
13472,14396,13851,15080,13418,16234,9935,53493,52611,11539,58826,45964
13437,14391,13812,14993,13368,16233,9936,53358,52532,11548,58696,45872
13441,14404,13816,15043,13374,16261,9960,53454,52563,11557,58760,45936
13413,14365,13802,15011,13347,16278,9899,53331,52469,11533,58686,45837
13418,14376,13776,15039,13360,16288,9933,53392,52521,11531,58725,45872
13428,14397,13755,15062,13354,16258,9940,53378,52532,11536,58651,45886
13411,14418,13759,15000,13365,16256,9947,53336,52539,11537,58663,45905
13412,14431,13762,15012,13387,16254,9924,53347,52541,11559,58671,45901
13414,14439,13729,15085,13386,16239,9940,53378,52610,11555,58668,45894
13382,14416,13730,15098,13408,16245,9944,53422,52481,11539,58671,45867
13407,14415,13772,15067,13412,16229,9955,53435,52563,11549,58706,45901
13428,14391,13762,15040,13438,16232,9946,53399,52528,11542,58667,45938
13419,14451,13740,15078,13443,16251,9981,53437,52657,11560,58750,45941
13412,14417,13747,15093,13454,16227,9933,53423,52564,11547,58753,45951
13408,14448,13741,15122,13498,16248,9960,53520,52635,11575,58836,45995
13403,14427,13732,15084,13514,16237,9958,53469,52596,11551,58796,45922
13389,14401,13735,15108,13535,16262,9964,53498,52576,11546,58824,45896
13387,14411,13734,15064,13561,16209,9978,53469,52607,11560,58752,45922
13410,14432,13763,15075,13596,16242,9955,53508,52673,11544,58902,45899
13424,14431,13765,15027,13564,16194,9978,53455,52674,11560,58806,45959
13431,14398,13785,15075,13541,16186,9976,53498,52608,11533,58814,45933
13444,14398,13799,15030,13466,16204,9953,53407,52591,11544,58787,45888
13463,14389,13803,15040,13423,16254,9951,53446,52585,11548,58861,45903
13470,14365,13799,15042,13395,16205,9940,53365,52561,11542,58742,45874
13453,14379,13804,15019,13375,16268,9954,53391,52574,11559,58766,45940
13444,14396,13780,15011,13383,16263,9930,53331,52566,11536,58727,45881
13426,14392,13772,15072,13367,16264,9956,53444,52521,11557,58740,45897
13424,14383,13773,15018,13357,16287,9936,53354,52528,11541,58683,45869
13426,14406,13781,15078,13361,16319,9949,53477,52548,11547,58750,45959
13420,14405,13777,15034,13362,16342,9971,53403,52586,11550,58726,45980
13417,14440,13748,15070,13360,16321,9947,53408,52597,11541,58738,45893
13412,14448,13727,15101,13395,16315,9933,53420,52615,11558,58748,45914
13400,14431,13733,15090,13393,16292,9952,53391,52586,11541,58719,45920
13404,14410,13760,15055,13401,16249,9954,53409,52536,11541,58697,45882
13392,14430,13755,15118,13401,16265,9957,53482,52553,11550,58724,45961
13392,14439,13729,15017,13417,16238,9942,53330,52563,11533,58676,45852
13403,14423,13738,15105,13446,16250,9913,53452,52536,11550,58751,45872
13410,14444,13732,15086,13474,16283,9973,53470,52637,11586,58786,45972
13399,14422,13750,15118,13494,16265,9937,53514,52578,11547,58813,45925
13373,14434,13713,15100,13535,16233,9958,53445,52613,11553,58793,45894
13388,14413,13733,15114,13557,16194,9949,53474,52563,11536,58758,45894
13374,14441,13704,15086,13553,16225,9923,53459,52571,11544,58806,45818
13417,14425,13757,15027,13546,16218,9968,53420,52637,11536,58781,45907
