taxels_up,taxels_down,taxels_right,taxels_left,taxels_clockwise,taxels_counterclockwise,taxels_pressure
39188,42221,41271,34947,54140,53267,157627
39169,42222,41243,34874,54112,53210,157508
39210,42207,41290,34922,54119,53255,157629
39205,42254,41272,34918,54150,53271,157649
39231,42224,41298,34968,54177,53272,157721
39198,42280,41281,34991,54183,53322,157750
39175,42214,41270,34918,54078,53263,157577
39139,42256,41253,34903,54137,53222,157551
39180,42234,41261,34879,54112,53217,157554
39153,42258,41240,34899,54172,53213,157550
39176,42293,41289,34942,54192,53281,157700
39197,42188,41273,34893,54146,53223,157551
39170,42326,41347,34949,54233,53286,157792
39204,42250,41273,34899,54138,53272,157626
39234,42298,41320,34912,54216,53296,157764
39159,42274,41269,34868,54179,53193,157570
39163,42282,41256,34970,54235,53277,157671
39156,42205,41324,34940,54135,53323,157625
39133,42251,41275,34939,54169,53290,157598
39127,42211,41294,34886,54152,53230,157518
39133,42218,41307,34916,54151,53267,157574
39119,42193,41267,35013,54150,53313,157592
39160,42272,41323,34934,54201,53316,157689
39107,42219,41318,34944,54174,53257,157588
39040,42287,41300,34966,54201,53281,157593
39017,42214,41269,35002,54214,53262,157502
39015,42254,41311,34952,54173,53258,157532
38978,42236,41284,34946,54192,53208,157444
39023,42334,41292,35017,54252,53325,157666
39059,42242,41274,34986,54214,53301,157561
39088,42227,41284,35012,54198,53268,157611
39062,42198,41272,34954,54139,53273,157486
39028,42245,41286,34953,54208,53285,157512
39051,42220,41329,35031,54199,53286,157631
39032,42268,41296,35002,54189,53285,157598
39082,42310,41350,35017,54306,53308,157759
39099,42267,41271,35016,54241,53295,157653
39003,42218,41264,35070,54236,53264,157555
39024,42208,41297,35006,54214,53254,157535
38976,42247,41295,35060,54202,53272,157578
39008,42270,41356,35042,54227,53305,157676
39022,42289,41292,35065,54262,53289,157668
39016,42275,41336,35058,54296,53289,157685
39015,42217,41398,35022,54181,53336,157652
39045,42311,41270,35089,54306,53295,157715
38993,42177,41257,34986,54123,53261,157413
39059,42297,41369,35071,54259,53370,157796
39041,42227,41328,35042,54259,53274,157638
39038,42203,41282,35048,54188,53254,157571
38974,42147,41320,35034,54137,53245,157475
38963,42249,41330,35053,54263,53276,157595
39050,42177,41309,35062,54212,53262,157598
38992,42280,41338,35124,54302,53308,157734
38993,42212,41323,35155,54270,53328,157683
39013,42347,41422,35135,54341,53352,157917
38991,42196,41336,35073,54219,53285,157596
38986,42189,41295,35078,54214,53277,157548
38978,42294,41399,35125,54319,53388,157796
38928,42334,41366,35124,54335,53334,157752
38915,42300,41339,35167,54334,53333,157721
38881,42282,41421,35178,54276,53337,157762
38862,42262,41332,35167,54276,53304,157623
38846,42311,41355,35189,54362,53319,157701
38807,42272,41309,35192,54285,53282,157580
38698,42348,41352,35223,54370,53267,157621
38721,42233,41315,35241,54261,53272,157510
38746,42278,41346,35279,54351,53263,157649
38754,42292,41279,35229,54330,53256,157554
38749,42276,41332,35299,54370,53259,157656
38697,42305,41280,35279,54370,53251,157561
38722,42293,41320,35281,54364,53254,157616
38688,42284,41309,35275,54369,53246,157556
38762,42253,41348,35276,54357,53277,157639
38746,42311,41291,35178,54277,53283,157526
38782,42293,41318,35187,54314,53294,157580
38854,42270,41267,35216,54348,53270,157607
38844,42288,41300,35163,54348,53283,157595
38819,42317,41305,35199,54328,53306,157640
38877,42267,41295,35163,54324,53275,157602
38896,42223,41289,35166,54317,53270,157574
38867,42212,41335,35131,54241,53280,157545
38801,42231,41294,35154,54289,53243,157480
38848,42234,41256,35137,54225,53252,157475
38866,42222,41293,35115,54267,53267,157496
38860,42239,41311,35123,54263,53241,157533
38878,42196,41295,35096,54240,53256,157465
38871,42224,41314,35152,54275,53308,157561
38871,42206,41257,35100,54221,53291,157434
38826,42260,41272,35155,54267,53286,157513
38759,42295,41225,35113,54239,53215,157392
38820,42351,41291,35171,54393,53303,157633
38795,42286,41288,35092,54311,53197,157461
38828,42246,41278,35122,54260,53277,157474
38875,42221,41282,35122,54229,53263,157500
38850,42287,41343,35115,54371,53268,157595
38873,42272,41266,35108,54303,53277,157519
38878,42254,41294,35094,54241,53282,157520
38878,42266,41346,35121,54313,53268,157611
38851,42340,41327,35146,54314,53310,157664
38808,42248,41318,35155,54285,53279,157529
38880,42272,41300,35130,54356,53260,157582
38823,42275,41277,35122,54284,53289,157497
38892,42348,41306,35135,54354,53331,157681
38830,42269,41247,35131,54247,53296,157477
38938,42296,41325,35114,54287,53309,157673
38927,42242,41395,35123,54362,53321,157687
38972,42279,41369,35100,54350,53319,157720
38979,42278,41347,35061,54302,53285,157665
38963,42311,41389,35069,54286,53364,157732
38984,42212,41271,34978,54179,53267,157445
39039,42231,41275,35033,54234,53291,157578
39055,42295,41302,35018,54259,53313,157670
39116,42203,41287,34965,54193,53249,157571
39138,42206,41274,34948,54165,53276,157566
39200,42213,41263,34983,54198,53262,157659
39162,42146,41252,34926,54120,53203,157486
39179,42223,41285,35012,54202,53240,157699
39219,42238,41257,34941,54133,53276,157655
39254,42231,41238,34949,54150,53323,157672
39195,42250,41253,34919,54119,53253,157617
39170,42271,41210,34968,54155,53214,157619
39163,42179,41223,34858,54002,53203,157423
39146,42263,41260,34865,54109,53193,157534
39214,42232,41274,34848,54100,53208,157568
39188,42283,41241,34935,54151,53245,157647
39183,42207,41251,34872,54064,53229,157513
39193,42182,41258,34886,54064,53198,157519
39185,42225,41239,34898,54126,53184,157547
39175,42289,41273,34914,54120,53213,157651
39113,42292,41237,34910,54068,53239,157552
39184,42345,41311,34944,54224,53262,157784
39182,42283,41266,34905,54096,53252,157636
39210,42314,41258,34950,54191,53247,157732
39195,42250,41271,34891,54097,53217,157607
39150,42293,41246,34908,54104,53256,157597
39189,42231,41291,34900,54101,53217,157611
39204,42292,41299,34889,54212,53232,157684
39220,42264,41280,34951,54192,53263,157715
39203,42304,41301,34933,54185,53265,157741
39152,42235,41264,34811,54056,53191,157462
39165,42238,41289,34885,54078,53227,157577
39146,42229,41272,34849,54068,53199,157496
39138,42239,41282,34903,54068,53217,157562
39102,42253,41218,34861,54065,53205,157434
39204,42308,41290,34879,54125,53293,157681
39181,42257,41291,34883,54118,53225,157612
39195,42227,41278,34880,54082,53219,157580
39198,42230,41257,34862,54061,53231,157547
39225,42249,41266,34899,54091,53271,157639
39220,42304,41287,34917,54185,53244,157728
39258,42238,41328,34901,54113,53280,157725
39173,42228,41263,34879,54075,53230,157543
39209,42318,41283,34918,54123,53313,157728
39228,42257,41300,34903,54136,53271,157688
39185,42319,41290,34970,54170,53363,157764
39177,42211,41243,34862,54061,53224,157493
39210,42300,41281,34929,54144,53273,157720
