taxels_up,taxels_down,taxels_right,taxels_left,taxels_clockwise,taxels_counterclockwise,taxels_pressure
39425,42701,41692,35421,54799,53870,159239
39450,42703,41621,35429,54789,53860,159203
39540,42755,41649,35494,54896,53935,159438
39527,42724,41674,35388,54806,53864,159313
39551,42735,41667,35445,54872,53885,159398
39510,42700,41608,35411,54808,53860,159229
39506,42703,41649,35432,54778,53883,159290
39500,42770,41660,35412,54853,53869,159342
39526,42753,41621,35416,54798,53898,159316
39507,42711,41678,35393,54803,53900,159289
39518,42713,41645,35449,54880,53872,159325
39460,42678,41557,35397,54730,53851,159092
39497,42645,41628,35411,54790,53853,159181
39478,42728,41593,35363,54785,53870,159162
39495,42725,41571,35458,54785,53947,159249
39473,42641,41595,35410,54726,53857,159119
39520,42757,41642,35400,54835,53959,159319
39484,42769,41689,35407,54857,53943,159349
39449,42748,41610,35438,54835,53906,159245
39512,42728,41646,35431,54867,53930,159317
39482,42739,41649,35401,54856,53872,159271
39500,42729,41642,35402,54788,53916,159273
39465,42713,41634,35451,54797,53888,159263
39560,42688,41645,35392,54815,53905,159285
39566,42759,41693,35433,54912,53935,159451
39455,42729,41590,35416,54830,53818,159190
39480,42723,41618,35396,54789,53896,159217
39538,42712,41604,35421,54803,53920,159275
39495,42745,41655,35419,54817,53899,159314
39453,42680,41583,35458,54817,53829,159174
39460,42660,41645,35433,54800,53839,159198
39457,42626,41640,35417,54777,53791,159140
39421,42677,41593,35434,54758,53825,159125
39445,42724,41646,35423,54868,53828,159238
39533,42780,41668,35464,54926,53854,159445
39484,42749,41660,35459,54881,53877,159352
39461,42705,41686,35515,54872,53843,159367
39547,42796,41653,35476,54907,53889,159472
39544,42810,41702,35520,54962,53943,159576
39527,42849,41750,35448,54914,53949,159574
39551,42811,41687,35425,54904,53939,159474
39494,42746,41633,35473,54815,53928,159346
39525,42788,41651,35483,54907,53951,159447
39550,42754,41668,35442,54835,53925,159414
39615,42737,41712,35470,54935,53909,159534
39596,42753,41751,35460,54906,53964,159560
39659,42869,41770,35497,55005,54004,159795
39649,42825,41814,35490,54903,54024,159778
39712,42849,41994,35509,55043,54047,160064
39668,42871,42059,35546,55035,54119,160144
39715,42921,42167,35581,55151,54163,160384
39687,42891,42163,35570,55110,54136,160311
39775,42927,42205,35553,55150,54195,160460
39769,42890,42156,35651,55165,54219,160466
39801,42956,42294,35663,55216,54250,160714
39714,42924,42121,35600,55132,54185,160359
39813,42973,42316,35617,55239,54278,160719
39811,42965,42251,35528,55187,54215,160555
39818,42981,42329,35570,55196,54305,160698
39781,42945,42249,35542,55162,54220,160517
39798,42966,42355,35550,55248,54266,160669
39777,42947,42404,35602,55225,54228,160730
39828,43046,42283,35615,55234,54400,160772
39802,43016,42281,35585,55186,54279,160684
39850,42964,42390,35601,55259,54348,160805
39804,42899,42367,35520,55189,54240,160590
39831,42986,42331,35575,55234,54279,160723
39822,42922,42372,35589,55228,54259,160705
39760,42994,42310,35612,55203,54321,160676
39746,42940,42283,35545,55146,54264,160514
39770,42953,42365,35604,55232,54314,160692
39740,42946,42328,35564,55199,54236,160578
39777,42923,42285,35547,55224,54209,160532
39768,42922,42255,35578,55238,54215,160523
39730,42988,42226,35589,55212,54228,160533
39760,43017,42256,35534,55200,54270,160567
39760,43032,42320,35546,55220,54299,160658
39759,42987,42374,35603,55250,54321,160723
39783,42933,42358,35635,55284,54273,160709
39703,42975,42269,35582,55209,54300,160529
39742,42992,42251,35649,55238,54312,160634
39789,43018,42316,35688,55288,54363,160811
39777,42964,42197,35621,55213,54266,160559
39783,42892,42123,35640,55203,54197,160438
39795,42908,42258,35612,55228,54229,160573
39762,43003,42156,35570,55182,54202,160491
39837,42932,42183,35640,55257,54224,160592
39825,42941,42115,35686,55223,54185,160567
39837,42980,42133,35656,55273,54263,160606
39748,42871,42053,35631,55183,54151,160303
39756,42904,42042,35604,55163,54206,160306
39735,42849,41893,35572,55045,54131,160049
39762,42820,41920,35603,55170,54080,160105
39703,42852,41923,35593,55127,54078,160071
39684,42830,41882,35577,55091,54087,159973
39597,42847,41815,35540,55018,54026,159799
39584,42789,41833,35497,54995,53995,159703
39563,42820,41811,35489,55007,53987,159683
39589,42775,41728,35472,54920,53976,159564
39478,42718,41758,35469,54905,53930,159423
39441,42737,41701,35464,54878,53916,159343
39482,42720,41710,35448,54849,53913,159360
39384,42735,41730,35506,54895,53889,159355
39463,42693,41722,35458,54880,53855,159336
39363,42718,41750,35449,54819,53895,159280
39416,42668,41653,35438,54748,53896,159175
39433,42717,41649,35406,54798,53875,159205
39355,42648,41635,35412,54760,53811,159050
39345,42715,41661,35392,54796,53850,159113
39331,42715,41628,35407,54816,53810,159081
39376,42738,41632,35450,54856,53843,159196
39342,42780,41579,35441,54827,53832,159142
39337,42669,41603,35390,54789,53786,158999
39373,42660,41596,35389,54772,53798,159018
39361,42668,41633,35397,54835,53767,159059
39355,42705,41594,35391,54777,53801,159045
39355,42648,41605,35438,54795,53782,159046
39396,42766,41589,35424,54866,53852,159175
39362,42742,41620,35467,54857,53873,159191
39312,42673,41597,35396,54799,53764,158978
39363,42668,41594,35358,54774,53749,158983
39318,42759,41590,35418,54823,53797,159085
39409,42751,41647,35410,54857,53795,159217
39371,42720,41669,35445,54832,53877,159205
39428,42774,41706,35468,54934,53880,159376
39319,42720,41681,35468,54850,53808,159188
39362,42770,41663,35457,54899,53810,159252
39374,42761,41665,35426,54869,53860,159226
39378,42739,41683,35417,54827,53880,159217
39384,42721,41646,35452,54826,53872,159203
39377,42731,41644,35485,54882,53866,159237
39323,42722,41648,35418,54789,53831,159111
39412,42724,41678,35413,54860,53848,159227
39330,42692,41629,35391,54792,53773,159042
39380,42753,41743,35461,54899,53899,159337
39362,42707,41648,35461,54792,53851,159178
39357,42787,41696,35540,54990,53840,159380
39338,42694,41626,35488,54880,53804,159146
39370,42676,41606,35452,54839,53768,159104
39392,42737,41617,35473,54852,53836,159219
39391,42752,41662,35483,54941,53818,159288
39411,42761,41642,35559,54949,53870,159373
39451,42684,41706,35529,54928,53840,159370
39403,42787,41766,35477,54946,53895,159433
39413,42785,41736,35495,54960,53876,159429
39413,42782,41665,35532,54979,53842,159392
39436,42753,41739,35540,54937,53879,159468
39427,42799,41699,35604,55059,53866,159529
39453,42780,41744,35571,55033,53887,159548
39404,42706,41613,35533,54898,53814,159256
39412,42686,41709,35535,54937,53901,159342
39463,42718,41629,35484,54860,53913,159294
39466,42655,41673,35506,54835,53846,159300
39491,42680,41737,35466,54853,53905,159374
39438,42689,41637,35431,54813,53867,159195
39387,42678,41588,35447,54788,53825,159100
39404,42669,41586,35414,54775,53818,159073
39406,42646,41548,35412,54757,53755,159012
39443,42650,41593,35435,54793,53774,159121
39423,42720,41630,35491,54873,53813,159264
39448,42678,41601,35420,54758,53851,159147
39434,42623,41591,35420,54781,53801,159068
39450,42627,41579,35453,54734,53885,159109
39443,42674,41591,35416,54847,53782,159124
39450,42665,41579,35406,54803,53804,159100
39454,42672,41587,35441,54831,53831,159154
39495,42690,41680,35433,54826,53880,159298
39456,42628,41637,35411,54765,53839,159132
39509,42741,41623,35463,54862,53881,159336
39506,42707,41609,35414,54785,53863,159236
39477,42746,41663,35471,54847,53919,159357
