taxels_up,taxels_down,taxels_right,taxels_left,taxels_clockwise,taxels_counterclockwise,taxels_pressure
38629,42203,41216,35282,54199,53282,157330
38620,42189,41181,35170,54143,53271,157160
38639,42194,41261,34940,54049,53241,157034
38714,42185,41455,34840,54134,53206,157194
38690,42195,41536,34749,54130,53189,157170
38711,42182,41625,34674,54088,53199,157192
38718,42147,41678,34625,54053,53260,157168
38728,42156,41669,34704,54075,53253,157257
38694,42156,41689,34645,54044,53238,157184
38740,42225,41779,34715,54113,53301,157459
38690,42217,41767,34604,54122,53250,157278
38744,42241,41792,34595,54068,53328,157372
38694,42215,41722,34627,54042,53289,157258
38695,42282,41807,34684,54160,53325,157468
38803,42210,41811,34663,54147,53335,157487
38772,42326,41766,34717,54191,53388,157581
38744,42203,41748,34606,54058,53269,157301
38757,42223,41772,34586,54077,53309,157338
38707,42174,41762,34631,54077,53270,157274
38695,42197,41797,34678,54102,53318,157367
38727,42192,41768,34664,54140,53251,157351
38738,42223,41789,34615,54089,53292,157365
38668,42162,41681,34629,54052,53227,157140
38579,42132,41680,34566,53959,53211,156957
38607,42163,41678,34591,53959,53260,157039
38665,42252,41725,34590,54134,53223,157232
38614,42157,41683,34541,53957,53158,156995
38660,42157,41691,34611,54005,53192,157119
38631,42083,41665,34565,53930,53219,156944
38623,42203,41630,34633,54025,53223,157089
38601,42152,41678,34594,53981,53184,157025
38657,42132,41645,34597,53954,53204,157031
38620,42144,41700,34669,54072,53237,157133
38605,42240,41661,34607,54060,53213,157113
38655,42163,41659,34567,53982,53232,157044
38578,42178,41687,34660,54074,53212,157103
38623,42143,41691,34636,54016,53199,157093
38626,42123,41665,34590,53950,53172,157004
38637,42235,41662,34641,54048,53264,157175
38583,42211,41703,34630,54095,53203,157127
38590,42225,41615,34676,54073,53230,157106
38621,42190,41700,34600,54028,53220,157111
38641,42157,41636,34643,53984,53208,157077
38620,42211,41644,34641,54049,53220,157116
38605,42180,41639,34618,53980,53209,157042
38580,42143,41616,34674,54020,53170,157013
38572,42225,41590,34681,54045,53188,157068
38613,42163,41539,34718,54055,53163,157033
38586,42128,41425,34666,53942,53129,156805
38641,42206,41479,34785,54116,53180,157111
38639,42204,41387,34780,54065,53145,157010
38575,42261,41235,34941,54104,53229,157012
38556,42177,41186,35037,54069,53184,156956
38550,42199,41182,35123,54105,53219,157054
38541,42127,41136,35183,54035,53234,156987
38638,42189,41211,35286,54280,53286,157324
38545,42146,41149,35327,54143,53262,157167
38555,42130,41097,35275,54115,53200,157057
38460,42081,41062,35297,54088,53161,156900
38567,42143,41139,35273,54161,53202,157122
38521,42111,41118,35308,54119,53208,157058
38521,42180,41144,35310,54150,53265,157155
38507,42096,41168,35388,54150,53228,157159
38507,42095,41111,35331,54129,53208,157044
38505,42076,41095,35301,54076,53183,156977
38537,42081,41111,35303,54094,53193,157032
38494,42120,41093,35336,54137,53178,157043
38513,42149,41117,35373,54209,53179,157152
38506,42096,41153,35391,54220,53186,157146
38552,42090,41093,35388,54173,53201,157123
38514,42100,41077,35425,54185,53202,157116
38501,42122,41130,35439,54193,53246,157192
38475,42092,41116,35433,54173,53223,157116
38502,42115,41108,35406,54208,53211,157131
38473,42095,41087,35382,54177,53153,157037
38459,42158,41134,35442,54236,53223,157193
38478,42095,41047,35461,54176,53198,157081
38545,42147,41109,35485,54234,53266,157286
38514,42092,41118,35512,54268,53206,157236
38521,42138,41177,35497,54290,53243,157333
38501,42104,41138,35483,54237,53211,157226
38506,42177,41136,35543,54311,53256,157362
38517,42121,41115,35478,54237,53233,157231
38458,42259,41110,35505,54354,53252,157332
38565,42076,41106,35519,54262,53218,157266
38519,42148,41160,35534,54313,53261,157361
38515,42092,41124,35579,54242,53288,157310
38553,42171,41152,35531,54314,53263,157407
38544,42187,41180,35542,54280,53326,157453
38539,42127,41147,35478,54234,53279,157291
38507,42140,41131,35519,54207,53294,157297
38542,42207,41127,35580,54362,53293,157456
38575,42166,41131,35563,54346,53297,157435
38620,42162,41179,35555,54382,53303,157516
38533,42184,41168,35548,54331,53278,157433
38583,42177,41185,35561,54299,53337,157506
38522,42256,41145,35497,54332,53312,157420
38551,42191,41128,35530,54302,53304,157400
38524,42205,41155,35599,54297,53402,157483
38567,42164,41143,35595,54384,53304,157469
38477,42099,41096,35515,54208,53255,157187
38547,42101,41158,35517,54204,53285,157323
38524,42169,41097,35523,54250,53300,157313
38567,42216,41171,35505,54302,53334,157459
38567,42164,41176,35510,54300,53321,157417
38606,42198,41168,35505,54320,53350,157477
38562,42188,41134,35382,54259,53290,157266
38580,42196,41209,35256,54153,53295,157241
38612,42240,41294,35036,54175,53243,157182
38664,42353,41394,34946,54292,53239,157357
38668,42233,41443,34802,54132,53183,157146
38661,42300,41536,34818,54175,53253,157315
38726,42193,41582,34761,54103,53239,157262
38704,42158,41548,34703,54001,53248,157113
38651,42151,41571,34675,53992,53213,157048
38713,42253,41658,34689,54116,53256,157313
38687,42166,41674,34662,54046,53205,157189
38712,42222,41671,34718,54104,53281,157323
38710,42222,41671,34622,54106,53205,157225
38717,42189,41717,34667,54096,53268,157290
38738,42137,41679,34689,54022,53277,157243
38735,42282,41819,34665,54177,53323,157501
38700,42248,41708,34677,54103,53261,157333
38761,42218,41731,34657,54046,53298,157367
38699,42215,41709,34579,54056,53211,157202
38691,42215,41699,34648,54107,53257,157253
38687,42151,41739,34641,54057,53246,157218
38693,42226,41733,34650,54094,53268,157302
38708,42296,41749,34650,54215,53272,157403
38677,42135,41697,34630,54041,53218,157139
38623,42175,41726,34606,54017,53221,157130
38637,42178,41656,34621,54045,53180,157092
38612,42111,41644,34599,53990,53133,156966
38660,42229,41752,34671,54140,53242,157312
38661,42182,41691,34628,54084,53210,157162
38624,42179,41624,34635,54031,53198,157062
38602,42205,41664,34605,54020,53189,157076
38610,42165,41647,34599,54010,53166,157021
38559,42185,41592,34579,53993,53154,156915
38636,42162,41619,34644,54020,53183,157061
38626,42153,41633,34657,54025,53195,157069
38644,42165,41676,34600,54000,53180,157085
38587,42100,41610,34589,53952,53130,156886
38653,42101,41605,34578,53949,53154,156937
38586,42151,41575,34666,53999,53162,156978
38619,42185,41657,34672,54069,53200,157133
38645,42151,41577,34649,54056,53150,157022
38575,42147,41582,34623,54023,53107,156927
38562,42153,41618,34655,54026,53150,156988
38587,42119,41547,34565,53959,53095,156818
38632,42140,41544,34583,54006,53084,156899
38593,42106,41515,34621,53981,53120,156835
38621,42092,41559,34666,53987,53137,156938
38634,42169,41543,34661,54031,53150,157007
38559,42134,41508,34581,53947,53105,156782
38577,42115,41503,34644,54029,53096,156839
38615,42104,41495,34669,53973,53132,156883
38632,42183,41530,34652,54014,53170,156997
38614,42197,41526,34687,54019,53126,157024
38579,42222,41454,34676,54023,53107,156931
38564,42200,41384,34662,54010,53098,156810
38611,42168,41396,34743,54046,53143,156918
38571,42222,41351,34752,54061,53115,156896
38595,42149,41339,34833,54007,53135,156916
38601,42213,41274,34833,54045,53102,156921
38605,42148,41295,34894,54106,53131,156942
38561,42092,41193,34928,53964,53149,156774
38544,42069,41125,34962,53880,53147,156700
38510,42014,41099,35022,53885,53161,156645
38565,42037,41163,35167,54027,53192,156932
38557,42156,41112,35306,54158,53250,157131
38545,42093,41144,35277,54087,53224,157059
38464,42072,41096,35264,54053,53151,156896
38488,42018,41123,35216,53988,53173,156845
38500,42075,41149,35230,54063,53195,156954
38489,42143,41118,35301,54136,53197,157051
38503,42116,41116,35320,54083,53242,157055
38508,42115,41094,35351,54145,53202,157068
38459,42059,41085,35365,54121,53187,156968
38447,42136,41090,35332,54111,53229,157005
38451,42139,41066,35303,54129,53153,156959
38436,42111,41111,35340,54129,53216,156998
38457,42075,41082,35290,54058,53175,156904
38478,42146,41159,35299,54125,53247,157082
38422,42087,41091,35293,54067,53205,156893
38483,42123,41117,35350,54221,53208,157073
38476,42083,41086,35322,54134,53162,156967
38413,42114,41052,35360,54136,53153,156939
38489,42123,41082,35338,54152,53188,157032
38464,42129,41075,35359,54147,53208,157027
38495,42028,41093,35344,54049,53177,156960
38435,42081,41077,35307,54104,53107,156900
38425,42016,41058,35316,53997,53163,156815
38508,42213,41133,35338,54226,53222,157192
38515,42062,41088,35327,54076,53202,156992
38499,42153,41136,35324,54173,53218,157112
38451,42114,41055,35263,54064,53158,156883
38483,42150,41036,35308,54117,53184,156977
38480,42115,41077,35314,54113,53195,156986
38482,42220,41104,35256,54109,53297,157062
38516,42138,41158,35307,54124,53204,157119
38532,42150,41154,35325,54174,53246,157161
38522,42127,41117,35329,54126,53242,157095
38543,42217,41156,35367,54205,53332,157283
38558,42174,41160,35326,54161,53305,157218
38529,42152,41192,35320,54132,53325,157193
38560,42128,41136,35282,54108,53248,157106
38518,42171,41147,35313,54132,53287,157149
38550,42157,41170,35247,54113,53269,157124
38530,42131,41109,35218,54030,53248,156988
38524,42123,41151,35217,54062,53212,157015
38561,42153,41119,35284,54098,53280,157117
38589,42087,41133,35243,54036,53226,157052
38590,42142,41147,35265,54087,53309,157144
38587,42105,41114,35167,54018,53238,156973
38590,42227,41188,35159,54126,53287,157164
38592,42137,41191,35069,54039,53240,156989
38655,42257,41248,35010,54141,53275,157170
38598,42218,41230,34880,54071,53184,156926
38636,42181,41329,34856,54107,53130,157002
