taxels_up,taxels_down,taxels_right,taxels_left,taxels_clockwise,taxels_counterclockwise,taxels_pressure
38974,42025,41114,34693,53806,53076,156806
38932,41993,41168,34657,53791,53081,156750
38919,42003,41122,34608,53789,53052,156652
38876,41997,41123,34576,53753,53026,156572
38916,42043,41094,34694,53863,53083,156747
38906,42087,41120,34718,53871,53153,156831
38899,42011,41183,34710,53880,53109,156803
38968,42062,41183,34661,53832,53143,156874
38986,42019,41183,34723,53879,53103,156911
38897,42071,41190,34690,53880,53109,156848
38930,42064,41179,34723,53887,53166,156896
38958,42042,41196,34689,53867,53202,156885
38965,42109,41228,34755,53942,53216,157057
38982,42053,41145,34665,53813,53162,156845
38946,41978,41093,34775,53874,53104,156792
38933,42054,41137,34779,53865,53172,156903
38939,42062,41195,34728,53909,53186,156924
39005,42040,41176,34746,53943,53196,156967
38923,41952,41146,34725,53865,53115,156746
38935,42055,41215,34759,53977,53153,156964
38940,42031,41183,34746,53890,53134,156900
38915,42031,41174,34713,53911,53084,156833
38902,42024,41081,34727,53850,53090,156734
38905,42063,41126,34753,53876,53150,156847
38943,42009,41160,34741,53924,53136,156853
38907,42051,41159,34756,53910,53165,156873
38898,41984,41111,34697,53818,53102,156690
38882,42057,41124,34722,53864,53136,156785
38873,41966,41161,34744,53811,53116,156744
38888,42099,41143,34768,53898,53208,156898
38872,42019,41132,34823,53911,53153,156846
38846,42024,41110,34790,53869,53155,156770
38829,41970,41121,34761,53855,53090,156681
38820,42082,41095,34714,53809,53172,156711
38811,42011,41126,34807,53850,53172,156755
38806,42019,41129,34815,53868,53152,156769
38807,41998,41163,34823,53855,53143,156791
38773,42008,41116,34768,53802,53118,156665
38756,42059,41104,34820,53850,53141,156739
38764,41955,41141,34786,53817,53098,156646
38872,42025,41156,34838,53913,53183,156891
38846,42047,41172,34804,53930,53141,156869
38868,42004,41183,34783,53884,53189,156838
38830,42020,41163,34757,53810,53170,156770
38785,42006,41118,34738,53811,53133,156647
38852,42056,41144,34737,53903,53140,156789
38826,41998,41110,34767,53806,53137,156701
38859,42022,41198,34772,53895,53147,156851
38792,42029,41127,34757,53862,53150,156705
38841,42001,41123,34810,53866,53159,156775
38824,42011,41138,34742,53830,53110,156715
38819,42092,41212,34731,53902,53154,156854
38849,42040,41132,34784,53846,53159,156805
38803,42015,41123,34806,53894,53154,156747
38824,41989,41115,34741,53809,53131,156669
38847,42010,41135,34778,53851,53183,156770
38792,42105,41169,34836,53931,53223,156902
38865,42013,41141,34750,53850,53167,156769
38795,42063,41146,34775,53902,53171,156779
38794,42081,41146,34827,53920,53194,156848
38847,42068,41160,34813,53891,53174,156888
38856,42012,41155,34760,53830,53166,156783
38799,41969,41132,34798,53835,53138,156698
38812,42009,41152,34788,53850,53155,156761
