taxels_up,taxels_down,taxels_right,taxels_left,taxels_clockwise,taxels_counterclockwise,taxels_pressure
38545,42158,41291,34850,54108,53079,156844
38553,42210,41309,34827,54101,53077,156899
38519,42202,41276,34856,54064,53098,156853
38495,42186,41190,34814,54005,53064,156685
38477,42214,41212,34809,54030,53037,156712
38469,42153,41171,34802,53993,53015,156595
38437,42196,41202,34887,53987,53116,156722
38424,42190,41193,34841,53974,53077,156648
38445,42247,41190,34906,54080,53076,156788
38437,42204,41156,34867,53955,53122,156664
38463,42209,41148,34936,53972,53184,156756
38429,42144,41106,34933,53915,53133,156612
38481,42191,41126,35050,54044,53227,156848
38489,42143,41173,34994,54015,53171,156799
38578,42139,41126,35033,53983,53234,156876
38512,42143,41138,34999,54065,53191,156792
38554,42112,41131,35033,53964,53250,156830
38481,42091,41179,34979,53979,53176,156730
38570,42084,41122,34954,53991,53159,156730
38616,42092,41119,34929,53982,53142,156756
38614,42059,41136,34917,54020,53084,156726
38590,42026,41105,34839,53947,53052,156560
38586,42137,41169,34791,54017,53019,156683
38584,42099,41153,34818,54016,53031,156654
38563,42176,41233,34798,54065,53043,156770
38541,42131,41186,34824,53976,53041,156682
38598,42141,41330,34828,54042,53098,156897
38567,42023,41269,34735,53975,52981,156594
38598,42122,41325,34742,54065,52989,156787
38549,42075,41285,34722,53916,53024,156631
38533,42168,41262,34761,54020,53043,156724
38485,42103,41278,34782,54008,53023,156648
38521,42202,41234,34852,54069,53087,156809
38504,42184,41280,34773,54021,53063,156741
38470,42160,41254,34803,54031,53011,156687
38460,42198,41233,34800,54059,53017,156691
38447,42204,41251,34796,53982,53034,156698
38477,42242,41220,34876,54028,53092,156815
38442,42229,41203,34886,54043,53092,156760
38406,42284,41156,34943,54038,53129,156789
38424,42153,41137,34990,53975,53129,156704
38446,42168,41152,35010,53984,53178,156776
38505,42197,41172,35077,54076,53192,156951
38452,42169,41241,35146,54095,53212,157008
38510,42209,41195,35159,54083,53257,157073
38488,42114,41116,35151,53987,53274,156869
38529,42087,41115,35098,54000,53179,156829
38616,42005,41117,35030,53894,53186,156768
38703,42088,41135,34984,54018,53166,156910
38739,42074,41146,34863,53969,53144,156822
38757,42095,41216,34774,54056,53068,156842
38676,42097,41242,34689,54005,53022,156704
38601,42079,41389,34670,54082,52984,156739
38595,42097,41463,34713,54031,53067,156868
38559,42185,41460,34727,54116,53070,156931
38525,42188,41398,34775,54100,53065,156886
38503,42156,41389,34760,54073,53022,156808
38484,42192,41290,34760,54038,53026,156726
38536,42212,41364,34756,54130,53055,156868
38453,42241,41341,34761,54095,53043,156796
38491,42226,41381,34760,54117,53071,156858
38471,42275,41345,34819,54139,53090,156910
38397,42256,41279,34868,54094,53054,156800
38417,42236,41222,34805,54014,53050,156680
38403,42348,41193,34849,54024,53098,156793
38435,42328,41185,34895,54038,53145,156843
38440,42329,41167,34985,54044,53206,156921
38431,42312,41190,35088,54121,53213,157021
38425,42279,41145,35100,54049,53233,156949
38437,42233,41100,35107,54046,53173,156877
38437,42238,41173,35138,54029,53238,156986
38461,42184,41186,35232,54094,53239,157063
38525,42163,41157,35260,54065,53260,157105
38517,42129,41194,35235,54100,53218,157075
38599,42139,41153,35234,54156,53200,157125
38678,42088,41139,35136,54093,53181,157041
38750,42060,41103,35034,54006,53191,156947
38824,42010,41123,34889,53922,53180,156846
38916,42002,41140,34838,53974,53117,156896
38918,42112,41256,34800,53985,53189,157086
38875,42085,41299,34697,53997,53172,156956
38806,42035,41404,34602,53947,53095,156847
38752,42122,41536,34584,53947,53163,156994
38659,42171,41520,34610,54004,53172,156960
38545,42225,41510,34674,54090,53110,156954
38492,42261,41474,34700,54063,53105,156927
38494,42331,41434,34790,54169,53125,157049
38462,42274,41359,34739,54075,53070,156834
38446,42235,41313,34797,54018,53083,156791
38414,42287,41257,34843,54037,53070,156801
38448,42389,41188,34969,54147,53153,156994
38453,42361,41195,34953,54121,53191,156962
38424,42322,41200,34992,54092,53187,156938
38438,42259,41166,35042,54095,53125,156905
38434,42211,41112,35150,54048,53212,156907
38464,42186,41142,35141,54083,53148,156933
38457,42242,41146,35202,54161,53220,157047
38500,42209,41142,35168,54118,53213,157019
38490,42149,41133,35235,54070,53240,157007
38513,42123,41107,35216,54040,53214,156959
38579,42131,41170,35195,54105,53194,157075
38632,42053,41116,35108,53998,53193,156909
38842,42097,41153,35004,54066,53211,157096
38847,42123,41135,34970,54001,53246,157075
38906,42065,41178,34829,53964,53201,156978
38937,42042,41189,34780,53957,53155,156948
38959,42119,41313,34715,54033,53166,157106
38917,42021,41353,34637,53919,53169,156928
38894,42073,41397,34622,53919,53161,156986
38710,42203,41525,34705,54122,53147,157143
38606,42116,41518,34692,54030,53103,156932
38531,42297,41356,34760,54152,53083,156944
38502,42273,41404,34751,54121,53075,156930
38430,42309,41313,34758,54068,53073,156810
38425,42329,41308,34875,54141,53082,156937
38443,42316,41253,34838,54092,53065,156850
38441,42298,41249,34882,54079,53116,156870
38415,42334,41148,34943,54058,53137,156840
38407,42272,41159,34969,54004,53170,156807
38456,42298,41136,35094,54117,53197,156984
38432,42240,41176,35144,54114,53204,156992
38487,42237,41166,35241,54176,53217,157131
38515,42178,41159,35231,54170,53204,157083
38459,42117,41151,35188,54008,53181,156915
38477,42128,41094,35195,54014,53180,156894
38522,42165,41136,35208,54108,53188,157031
38557,42119,41142,35278,54156,53241,157096
38684,42073,41123,35203,54095,53211,157083
38768,42123,41172,35156,54140,53237,157219
38865,42059,41145,34988,54047,53206,157057
38941,42112,41178,34881,54051,53193,157112
38952,42050,41212,34790,54016,53160,157004
39007,42132,41215,34757,54074,53160,157111
38959,42074,41369,34698,53967,53177,157100
38936,42142,41366,34647,54061,53152,157091
38834,42048,41469,34568,53948,53131,156919
38650,42071,41503,34585,53949,53102,156809
38534,42137,41406,34606,53942,53069,156683
38522,42236,41424,34728,54073,53098,156910
38477,42242,41350,34715,54082,53031,156784
38407,42332,41345,34778,54112,53068,156862
