taxels_up,taxels_down,taxels_right,taxels_left,taxels_clockwise,taxels_counterclockwise,taxels_pressure
38615,42157,41424,34777,54100,53086,156973
38630,42225,41388,34758,54107,53092,157001
38624,42139,41414,34755,54053,53121,156932
38612,42215,41360,34750,54101,53096,156937
38592,42172,41353,34757,54145,53064,156874
38609,42198,41387,34806,54127,53096,157000
38638,42183,41307,34790,54103,53113,156918
38632,42204,41331,34860,54090,53166,157027
38655,42212,41264,34817,54096,53118,156948
38563,42133,41164,34828,53967,53078,156688
38570,42085,41186,34858,53964,53056,156699
38591,42124,41222,34900,54018,53122,156837
38588,42133,41179,34949,54030,53190,156849
38579,42178,41236,35043,54103,53208,157036
38586,42119,41198,35055,54027,53210,156958
38580,42202,41221,35044,54109,53198,157047
38588,42143,41190,35010,54037,53186,156931
38557,42115,41168,35029,54006,53167,156869
38548,42149,41198,35025,54022,53203,156920
38520,42198,41158,35119,54127,53206,156995
38483,42196,41155,35095,54063,53201,156929
38493,42101,41141,35030,53976,53158,156765
38478,42207,41121,35044,53999,53205,156850
38513,42166,41163,35100,54052,53208,156942
38485,42064,41143,35111,53971,53206,156803
38554,42204,41154,35114,54105,53221,157026
38475,42199,41183,35166,54110,53221,157023
38438,42168,41143,35067,54026,53167,156816
38514,42151,41132,35160,54065,53162,156957
38507,42161,41161,35173,54074,53206,157002
38549,42254,41178,35193,54116,53274,157174
38557,42191,41205,35219,54127,53288,157172
38528,42218,41135,35262,54115,53293,157143
38542,42204,41149,35230,54080,53323,157125
38547,42133,41170,35194,54058,53223,157044
38574,42169,41149,35265,54109,53287,157157
38549,42235,41179,35278,54157,53316,157241
38609,42243,41199,35269,54146,53343,157320
38539,42256,41191,35248,54188,53335,157234
38563,42245,41184,35188,54117,53294,157180
38494,42243,41187,35178,54084,53290,157102
38569,42274,41184,35207,54114,53350,157234
38580,42256,41232,35221,54127,53392,157289
38623,42275,41241,35181,54190,53325,157320
38563,42326,41256,35202,54221,53348,157347
38576,42289,41180,35187,54178,53272,157232
38576,42190,41231,35189,54127,53304,157186
38600,42240,41262,35140,54107,53353,157242
38616,42289,41230,35142,54171,53353,157277
38609,42298,41234,35112,54137,53357,157253
38601,42215,41200,35089,54072,53299,157105
38560,42232,41218,34966,54097,53234,156976
38598,42151,41244,34997,54065,53186,156990
38594,42241,41229,34904,54079,53199,156968
38671,42212,41273,34887,54117,53161,157043
38658,42355,41360,34901,54248,53225,157274
38714,42206,41363,34844,54110,53163,157127
38658,42206,41407,34842,54153,53160,157113
38663,42188,41381,34729,54028,53132,156961
38721,42175,41469,34730,54119,53125,157095
38734,42133,41454,34747,54064,53161,157068
38723,42172,41514,34755,54111,53192,157164
38754,42288,41507,34769,54181,53243,157318
38722,42170,41476,34686,54025,53178,157054
38729,42177,41479,34704,54119,53143,157089
38722,42158,41474,34727,54037,53180,157081
38729,42215,41481,34708,54103,53158,157133
38717,42210,41472,34763,54082,53223,157162
38728,42176,41477,34741,54110,53151,157122
38715,42176,41500,34715,54098,53181,157106
38682,42125,41433,34719,53984,53113,156959
38687,42207,41452,34675,54087,53112,157021
38674,42174,41441,34706,54070,53166,156995
38680,42214,41482,34732,54108,53160,157108
38716,42170,41516,34692,54080,53168,157094
38742,42090,41449,34690,54033,53129,156971
38651,42119,41479,34659,53994,53105,156908
38629,42195,41446,34690,54042,53142,156960
38652,42065,41428,34680,53949,53074,156825
38653,42186,41495,34690,54080,53122,157024
38655,42140,41425,34724,54077,53102,156944
38634,42156,41357,34764,54044,53113,156911
38593,42087,41369,34772,54111,53055,156821
38639,42140,41341,34716,54036,53045,156836
38689,42137,41340,34756,54100,53084,156922
38610,42169,41405,34764,54080,53103,156948
38593,42152,41305,34743,54055,53050,156793
38607,42109,41285,34736,54001,53007,156737
38574,42133,41289,34843,54037,53104,156839
38622,42167,41361,34821,54134,53102,156971
38656,42220,41361,34830,54150,53121,157067
38609,42271,41387,34881,54217,53138,157148
38618,42191,41275,34877,54140,53123,156961
38591,42181,41191,34903,54064,53118,156866
38634,42127,41238,34888,54044,53154,156887
38605,42159,41205,34924,54051,53153,156893
38615,42144,41194,35002,54055,53187,156955
38558,42217,41186,35032,54068,53232,156993
38592,42144,41149,35031,54008,53219,156916
38602,42130,41190,35021,54022,53177,156943
38562,42118,41210,34990,54001,53178,156880
38553,42096,41170,35003,53980,53214,156822
38539,42127,41141,35037,54012,53150,156844
38587,42092,41151,35090,53994,53203,156920
38556,42070,41146,35077,53963,53204,156849
38509,42074,41191,35050,53997,53169,156824
38525,42111,41149,35062,54022,53167,156847
38543,42164,41174,35061,54070,53206,156942
38505,42124,41131,35091,54043,53167,156851
38590,42152,41184,35122,54079,53248,157048
38528,42158,41150,35136,54088,53169,156972
38496,42113,41111,35086,53998,53128,156806
38469,42090,41104,35073,53996,53107,156736
38482,42108,41152,35111,53976,53180,156853
38469,42101,41144,35156,54039,53201,156870
38493,42154,41111,35136,53970,53198,156894
38515,42267,41117,35149,54144,53234,157048
38522,42156,41161,35173,54068,53231,157012
38496,42156,41128,35157,54043,53192,156937
38522,42185,41204,35145,54086,53251,157056
38545,42188,41123,35184,54057,53253,157040
38530,42158,41195,35161,54107,53218,157044
38537,42204,41162,35193,54097,53287,157096
38618,42162,41150,35158,54072,53299,157088
38492,42208,41162,35184,54062,53290,157046
38539,42166,41268,35156,54071,53317,157129
38554,42193,41127,35170,54087,53272,157044
38532,42201,41186,35175,54095,53280,157094
38535,42264,41167,35202,54147,53332,157168
38569,42206,41174,35190,54135,53301,157139
38512,42233,41164,35181,54148,53252,157090
38567,42158,41205,35211,54103,53332,157141
38575,42186,41199,35184,54072,53317,157144
38582,42258,41231,35160,54124,53350,157231
38583,42197,41209,35133,54110,53273,157122
38557,42190,41209,35128,54062,53300,157084
38563,42168,41187,35127,54028,53313,157045
38544,42196,41205,35071,54067,53218,157016
38590,42261,41253,35075,54112,53308,157179
38620,42217,41242,35020,54133,53259,157099
38545,42177,41211,35000,54056,53197,156933
38579,42191,41228,34928,54032,53180,156926
38587,42287,41232,34837,54101,53148,156943
38597,42227,41280,34877,54102,53195,156981
38661,42245,41305,34857,54101,53164,157068
38666,42170,41396,34825,54137,53117,157057
38639,42144,41438,34819,54119,53145,157040
38680,42180,41439,34733,54051,53155,157032
38708,42146,41482,34779,54060,53215,157115
38681,42249,41461,34775,54101,53203,157166
38705,42187,41427,34732,54021,53185,157051
38651,42190,41497,34791,54119,53205,157129
38731,42157,41533,34793,54091,53219,157214
38726,42230,41514,34711,54067,53231,157181
38703,42236,41528,34718,54111,53191,157185
38681,42156,41503,34675,54067,53149,157015
38652,42148,41521,34717,53995,53205,157038
38702,42181,41549,34709,54062,53209,157141
38697,42158,41458,34631,54014,53124,156944
38667,42220,41533,34664,54027,53224,157084
38622,42183,41529,34632,54009,53187,156966
38668,42218,41522,34702,54054,53221,157110
38634,42113,41517,34656,53975,53128,156920
38671,42208,41493,34692,54047,53196,157064
38675,42113,41462,34633,53930,53147,156883
38646,42158,41545,34624,54025,53156,156973
38651,42095,41516,34609,53943,53126,156871
38662,42205,41595,34641,54058,53179,157103
38645,42095,41552,34651,54017,53143,156943
38663,42229,41539,34617,54096,53135,157048
38644,42112,41542,34650,53983,53097,156948
38598,42147,41516,34591,53966,53127,156852
38649,42103,41551,34564,53892,53126,156867
38609,42127,41536,34643,53980,53121,156915
38573,42122,41457,34677,53959,53107,156829
38645,42089,41489,34637,54005,53095,156860
38633,42135,41499,34644,53988,53099,156911
38556,42185,41502,34609,53993,53110,156852
38626,42110,41462,34582,53959,53048,156780
38608,42106,41463,34643,54008,53084,156820
38661,42130,41438,34681,54011,53122,156910
38596,42191,41429,34742,54043,53164,156958
38622,42122,41455,34708,54003,53103,156907
38564,42173,41396,34712,54004,53111,156845
38561,42147,41376,34734,54032,53075,156818
38642,42075,41383,34670,53940,53068,156770
38605,42168,41414,34705,54036,53112,156892
38540,42235,41341,34802,54104,53103,156918
38559,42193,41278,34791,54072,53089,156821
38557,42150,41309,34788,53957,53093,156804
38552,42059,41213,34783,53907,53032,156607
